,cosine1,cosine2,euclidean1,euclidean2,l21,l22,l11,l12,canberra1,canberra2,chebyshev1,chebyshev2,correlation1,correlation2
21196,-6.2836766,1.2914495,5.993488,-1.588813,5.993488,-1.588813,6.6044993,0.19685614,6.1683903,-0.10326213,-6.581038,-3.614647,-6.407453,2.9109137
21197,-2.9333258,0.264875,2.7598095,-0.14332917,2.7598095,-0.14332917,2.5331037,0.67300785,3.028401,-0.39654803,-3.4409761,-3.2168717,-3.1602428,1.9043121
21198,-4.7277837,-2.3651712,4.6638923,2.3868184,4.6638923,2.3868184,3.2923717,3.1727693,3.763101,2.7069836,-4.804982,0.01810609,-4.4979944,-1.3629938
21199,-6.285876,0.42121577,6.0013156,-0.60442376,6.0013156,-0.60442376,6.221851,1.1415255,6.100164,1.129121,-6.3188696,-2.6797075,-6.3961897,1.9098759
21200,-4.8362365,-1.742891,4.29208,1.9025494,4.29208,1.9025494,3.940864,2.6630237,4.1359634,2.474977,-3.9936748,-0.9380519,-4.422436,-0.7699907
21201,-6.00983,-3.6101809,5.740844,3.520126,5.740844,3.520126,4.452612,4.6811395,4.8023043,4.2878866,-5.913241,0.68169516,-4.916788,-3.8398616
21202,-6.075232,0.68029296,5.877619,-0.95318884,5.877619,-0.95318884,6.145754,0.7762214,5.838651,0.5879137,-6.4373884,-3.3898659,-6.2055616,2.257971
21203,-3.8278954,0.3168315,3.703357,-0.30186197,3.703357,-0.30186197,4.0530825,0.46035022,4.091866,0.23266537,-4.221685,-3.0472622,-4.4147224,1.8884652
21204,-6.4012823,-0.29294822,6.0791936,-0.048334215,6.0791936,-0.048334215,6.208994,1.5793444,6.0783267,1.5469124,-6.226513,-1.8200568,-6.0239606,1.0563468
21205,-6.163735,0.5314405,5.8891826,-0.7994854,5.8891826,-0.7994854,6.112578,0.87247735,6.0109305,1.0149536,-6.301044,-2.9980078,-5.9886703,2.2355201
21206,-6.785243,0.85073864,6.6070232,-1.047064,6.6070232,-1.047064,6.9828396,0.97237885,6.4760118,0.5585026,-7.218203,-3.0462077,-7.352662,2.2466645
21207,-3.7208607,-1.0888271,3.674044,1.0484157,3.674044,1.0484157,2.7941096,2.0723174,3.01511,1.6449832,-4.131512,-1.9958768,-3.6729789,0.14181519
21208,-6.464641,1.2676347,5.9727154,-1.4358996,5.9727154,-1.4358996,6.7650237,0.53808296,6.2808404,0.15792514,-6.2041583,-3.3083036,-6.7694488,2.8225958
21209,-5.9390163,0.030674491,5.5523176,-0.09847166,5.5523176,-0.09847166,5.8471866,1.4354342,5.8827085,1.4323782,-5.806105,-2.5171173,-5.102291,1.9042569
21210,-6.457599,0.45264658,5.9011745,-0.5036623,5.9011745,-0.5036623,6.9787064,1.385684,1.2465245,-6.112138,-6.4553833,-2.9968765,-6.95969,2.40456
21211,-3.614515,-0.36045456,3.472119,0.2883006,3.472119,0.2883006,3.086286,1.1125716,3.6093946,0.752887,-4.660826,-2.3061204,-3.897785,1.2016861
21212,-6.0545077,1.2719007,5.820626,-1.5843055,5.820626,-1.5843055,6.268724,0.05447385,5.922303,0.004579694,-6.487275,-3.560441,-6.2468395,2.8376262
21213,-4.18469,-0.05377842,4.1663117,-0.083246835,4.1663117,-0.083246835,3.6375165,0.9628642,4.2889576,1.219264,-5.0696864,-2.5409584,-4.2513857,1.2534989
